Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,1:47.6,,70.3,1
2,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,1:48.3,+0.7 +  0.7,69.8 0.33,1
3,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,1:49.0,+1.4 +  0.7,69.4 0.67,1
4,#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,1:49.4,+1.8 +  0.4,69.1 0.86,1
5,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,1:50.7,+3.1 +  1.3,68.3 1.48,1
6,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,1:51.6,+4.0 +  0.9,67.7 1.90,1
7,#16,Fourmaux Adrien  - Coria Alexandre Ford Puma Rally1,RC1 M,1:52.1,+4.5 +  0.5,67.4 2.14,1
8,#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,1:52.3,+4.7 +  0.2,67.3 2.24,1
9,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,1:52.5,+4.9 +  0.2,67.2 2.33,1
10,#21,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,1:52.9,+5.3 +  0.4,67.0 2.52,1
11,#20,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,1:54.2,+6.6 +  1.3,66.2 3.14,1
12,#22,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia RS Rally2,RC2,1:55.1,+7.5 +  0.9,65.7 3.57,1
13,#23,Kovalainen Heikki  - Kitagawa Sae Škoda Fabia R5,RC2,1:56.3,+8.7 +  1.2,65.0 4.14,1
14,#24,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,1:57.4,+9.8 +  1.1,64.4 4.67,1
15,#25,Chwist Daniel  - Heller Kamil Škoda Fabia Rally2 evo,RC2,2:00.9,+13.3 +  3.5,62.5 6.33,1
16,#32,Katsuta Norihiko  - Kimura Yusuke Toyota GR Yaris Rally2 Concept,NAT,2:02.3,+14.7 +  1.4,61.8 7.00,1
17,#26,Fukunaga Osamu  - Saida Misako Škoda Fabia Rally2 evo,RC2,2:03.1,+15.5 +  0.8,61.4 7.38,1
18,#29,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia RS Rally2,RC2,2:04.2,+16.6 +  1.1,60.9 7.90,1
19,#35,Arai Hiroki  - Tachikui Hiroki Peugeot 208 Rally4,RC4,2:04.6,+17.0 +  0.4,60.7 8.10,1
20,#30,Imai Satoshi  - Farmer Jason Citroën C3 Rally2,RC2,2:04.7,+17.1 +  0.1,60.6 8.14,1
21,#34,Arai Toshi  - Matsumoto Yuichi Subaru WRX S4 JP4 (VB),NAT,2:04.8,+17.2 +  0.1,60.6 8.19,1
22,#28,Boland Eamonn  - MJ Citroën C3 Rally2,RC2,2:05.4,+17.8 +  0.6,60.3 8.48,1
23,#39,Murata Kosuke  - Umemoto Madoka Toyota GR Yaris,NAT,2:13.9,+26.3 +  8.5,56.5 12.5,1
24,#40,Yamamoto Yuta  - Tachikui Kazuko Toyota GR86,NAT,2:17.1,+29.5 +  3.2,55.1 14.1,1
25,#47,Iriemon  - Kageyama Satoshi Toyota Vitz III RS,NAT,2:19.4,+31.8 +  2.3,54.2 15.1,1
26,#31,Bailey Jason  - Peterson Shayne Ford Fiesta Rally3,RC3,2:21.0,+33.4 +  1.6,53.6 15.9,1
27,#41,Kunisawa Mitsuhiro  - Kihara M. Renault Clio Rally5,RC5,2:24.9,+37.3 +  3.9,52.2 17.8,1
