Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Neuville Thier,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,1,107.6
Lappi Esapekka,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,2,108.3
Tänak Ott  - J,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,3,109.0
Sordo Dani  - ,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,4,109.4
Katsuta Takamo,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,5,110.7
Rovanperä Kall,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,6,111.6
Fourmaux Adrie,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,7,112.1
Ogier Sébastie,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,8,112.3
Evans Elfyn  -,RC1,1,Japan,16-19/11/2023,Tarmac,Wrc,9,112.5
Gryazin Nikola,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,10,112.9
Mikkelsen Andr,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,11,114.2
Kajetanowicz K,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,12,115.1
Kovalainen Hei,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,13,116.3
Munster Grégoi,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,14,117.4
Chwist Daniel ,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,15,120.9
Katsuta Norihi,NAT,1,Japan,16-19/11/2023,Tarmac,Wrc,16,122.3
Fukunaga Osamu,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,17,123.1
Díaz-Aboitiz M,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,18,124.2
Arai Hiroki  -,RC4,1,Japan,16-19/11/2023,Tarmac,Wrc,19,124.6
Imai Satoshi  ,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,20,124.7
Arai Toshi  - ,NAT,1,Japan,16-19/11/2023,Tarmac,Wrc,21,124.8
Boland Eamonn ,RC2,1,Japan,16-19/11/2023,Tarmac,Wrc,22,125.4
Murata Kosuke ,NAT,1,Japan,16-19/11/2023,Tarmac,Wrc,23,133.9
Yamamoto Yuta ,NAT,1,Japan,16-19/11/2023,Tarmac,Wrc,24,137.1
