No.,Crew,Group,ss,Race,cou,time_SS_sec
69,Rovanperä ,RC1,1,Acropolis,1,92.9
4,Lappi  Esa,RC1,1,Acropolis,2,93.2
11,Neuville  ,RC1,1,Acropolis,3,93.3
6,Sordo  Dan,RC1,1,Acropolis,4,93.4
8,Tänak  Ott,RC1,1,Acropolis,5,93.6
17,Ogier  S. ,RC1,1,Acropolis,6,94.2
18,Katsuta  T,RC1,1,Acropolis,7,94.2
7,Loubet  P.,RC1,1,Acropolis,8,94.6
20,Mikkelsen ,RC2,1,Acropolis,9,95.0
26,Gryazin  N,RC2,1,Acropolis,10,95.4
28,Bulacia  M,RC2,1,Acropolis,11,95.7
33,Evans  Elf,RC1,1,Acropolis,12,95.7
27,Fourmaux  ,RC2,1,Acropolis,13,96.0
21,Rossel  Yo,RC2,1,Acropolis,14,96.1
25,Kajetanowi,RC2,1,Acropolis,15,96.1
23,Solberg  O,RC2,1,Acropolis,16,96.6
34,Joona  Lau,RC2,1,Acropolis,17,96.7
24,Greensmith,RC2,1,Acropolis,18,96.9
32,Munster  G,RC2,1,Acropolis,19,96.9
35,Virves  Ro,RC2,1,Acropolis,20,96.9
31,Linnamäe  ,RC2,1,Acropolis,21,97.0
30,Marczyk  M,RC2,1,Acropolis,22,97.2
22,Pajari  Sa,RC2,1,Acropolis,23,97.7
44,Gill  Gaur,RC2,1,Acropolis,24,99.2
37,Athanassou,RC2,1,Acropolis,25,100.8
38,Cachon  A.,RC2,1,Acropolis,26,101.3
60,Creighton ,RC3,1,Acropolis,27,101.7
61,Pellier  L,RC3,1,Acropolis,28,102.2
73,Hoelbling ,RC2,1,Acropolis,29,102.7
36,Tsouloftas,RC2,1,Acropolis,30,103.3
29,Prokop  Ma,RC2,1,Acropolis,31,103.4
9,Serderidis,RC1,1,Acropolis,32,103.5
62,Rensonnet ,RC3,1,Acropolis,33,103.5
47,Velanis  V,RC2,1,Acropolis,34,103.6
67,Filippides,RC2,1,Acropolis,35,103.6
64,Kelly  Eam,RC3,1,Acropolis,36,104.2
59,Dominguez ,RC3,1,Acropolis,37,104.3
48,Karellis  ,RC2,1,Acropolis,38,104.4
49,Xanthakos ,RC2,1,Acropolis,39,104.9
46,Roustemis ,RC2,1,Acropolis,40,105.2
66,Bruun  Nat,RC3,1,Acropolis,41,105.7
45,Kehagias  ,RC2,1,Acropolis,42,105.8
74,Caragui  E,RC2,1,Acropolis,43,105.8
71,Pyck  Fili,RC2,1,Acropolis,44,106.3
53,Karanikola,RC3,1,Acropolis,45,107.6
50,Díaz Aboit,RC2,1,Acropolis,46,107.8
39,Villanueva,RC2,1,Acropolis,47,108.3
72,Dolofan  C,RC2,1,Acropolis,48,108.6
57,Castro  Ed,RC3,1,Acropolis,49,108.8
63,Blach  Rob,RC3,1,Acropolis,50,109.2
79,Fontana  M,RC4,1,Acropolis,51,109.7
77,Plagos  Io,RC4,1,Acropolis,52,110.2
70,Campagnoli,RC2,1,Acropolis,53,110.3
76,Chatzimark,RC4,1,Acropolis,54,110.4
54,Halkias  E,RC3,1,Acropolis,55,111.2
65,Anwar  Ham,RC3,1,Acropolis,56,112.1
68,Panteli  P,RC2,1,Acropolis,57,112.8
75,Lefkaditis,RC4,1,Acropolis,58,113.1
56,Delaportas,RC3,1,Acropolis,59,114.7
