Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Rovanperä Kall,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,1,92.9
Lappi Esapekka,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,2,93.2
Neuville Thier,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,3,93.3
Sordo Dani - C,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,4,93.4
Tänak Ott - Jä,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,5,93.6
Ogier Sébastie,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,6,94.2
Katsuta Takamo,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,7,94.2
Loubet Pierre-,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,8,94.6
Mikkelsen Andr,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,9,95.0
Gryazin Nikola,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,10,95.4
Bulacia Marco ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,11,95.7
Evans Elfyn - ,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,12,95.7
Fourmaux Adrie,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,13,96.0
Rossel Yohan -,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,14,96.1
Kajetanowicz K,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,15,96.1
Solberg Oliver,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,16,96.6
Joona Lauri - ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,17,96.7
Greensmith Gus,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,18,96.9
Munster Grégoi,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,19,96.9
Virves Robert ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,20,96.9
Linnamäe Georg,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,21,97.0
Marczyk Mikoła,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,22,97.2
Pajari Sami - ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,23,97.7
Gill Gaurav - ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,24,99.2
Athanassoulas ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,25,100.8
Cachón Alejand,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,26,101.3
Creighton Will,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,27,101.7
Pellier Lauren,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,28,102.2
Hoelbling Luca,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,29,102.7
Tsouloftas Ale,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,30,103.3
Prokop Martin ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,31,103.4
Serderidis Jou,RC1,1,Acropolis 2023,9/2023,Gravel,Wrc,32,103.5
Rensonnet Tom ,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,33,103.5
Velanis Vassil,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,34,103.6
Philippedes Yo,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,35,103.6
Kelly Eamonn -,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,36,104.2
Domínguez Dieg,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,37,104.3
Karellis C. - ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,38,104.4
Xanthakos Mari,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,39,104.9
Panagiotis Rou,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,40,105.2
Bruun Sosa Nat,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,41,105.7
Kechagias Gior,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,42,105.8
Cărăgui Eugen ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,43,105.8
Pyck Filip - D,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,44,106.3
Karanikolas E.,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,45,107.6
Díaz-Aboitiz M,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,46,107.8
Villanueva A. ,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,47,108.3
Dolofan Cristi,RC2,1,Acropolis 2023,9/2023,Gravel,Wrc,48,108.6
Castro Eduardo,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,49,108.8
Blach Roberto ,RC3,1,Acropolis 2023,9/2023,Gravel,Wrc,50,109.2
