0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7
No.,Crew,Group,Race,,,,,,,
1,Paddon  Ha,RC2,Czech Barum,00:07:12.9,00:07:46.1,00:06:23.9,00:14:09.6,00:07:38.9,00:06:19.6,00:13:50.9
2,Østberg  M,RC2,Czech Barum,00:07:12.3,00:07:42.4,00:06:21.2,00:13:57.5,00:08:13.3,00:16:17.8,00:23:42.0
3,Llarena  E,RC2,Czech Barum,00:07:15.7,00:07:48.2,00:06:27.6,00:14:08.3,00:07:40.8,00:06:23.3,00:13:54.9
5,Lukyanuk  ,RC2,Czech Barum,00:07:08.5,00:07:39.7,00:06:25.5,00:14:06.3,00:07:34.3,00:06:19.6,00:16:13.3
6,Sesks  M. ,RC2,Czech Barum,00:07:20.0,00:07:54.0,00:06:32.4,00:14:23.6,00:07:44.1,00:06:32.5,00:14:04.8
7,Franceschi,RC2,Czech Barum,00:07:15.9,00:07:47.4,00:06:29.3,00:14:13.1,00:07:38.9,00:06:25.4,00:13:54.5
9,Mareš  Fil,RC2,Czech Barum,00:07:11.6,00:07:45.4,00:06:23.7,00:14:14.3,00:07:37.6,00:06:19.1,00:13:54.3
10,Wagner  Si,RC2,Czech Barum,00:07:07.0,00:07:43.4,00:06:21.7,00:14:04.2,00:07:37.3,00:06:20.1,00:13:54.1
11,Cais  Erik,RC2,Czech Barum,00:07:09.5,00:07:42.0,00:06:21.6,00:13:50.9,00:07:39.6,00:07:38.9,00:13:42.0
12,McErlean  ,RC2,Czech Barum,00:07:22.8,00:07:47.8,00:06:30.5,00:14:11.1,00:07:41.9,00:06:25.3,00:13:59.8
14,Csomós  Mi,RC2,Czech Barum,00:07:11.0,00:07:41.4,00:06:19.0,00:14:00.3,00:07:37.9,00:06:19.6,00:13:44.8
15,Tempestini,RC2,Czech Barum,00:07:16.3,00:07:52.0,00:06:30.8,00:14:22.9,00:07:45.4,00:06:26.7,00:14:03.0
16,von Thurn ,RC2,Czech Barum,00:07:23.1,00:07:55.1,00:06:34.2,00:14:31.6,00:07:47.7,00:06:31.9,00:14:47.4
17,László  Ma,RC2,Czech Barum,00:07:24.4,00:08:04.5,00:06:59.7,00:23:50.9,-,-,-
18,Kopecký  J,RC2,Czech Barum,00:07:07.4,00:07:41.5,00:06:22.7,00:13:54.2,00:07:33.5,00:06:17.8,00:13:42.0
19,Ingram  Ch,RC2,Czech Barum,00:07:16.7,00:07:46.4,00:06:21.3,00:14:09.7,-,-,-
20,Stříteský ,RC2,Czech Barum,00:07:11.6,00:07:49.2,00:06:27.8,00:14:04.8,00:07:40.8,00:06:21.0,00:13:53.3
21,Březík  Ad,RC2,Czech Barum,00:07:13.2,00:07:41.7,00:06:28.1,00:14:04.1,00:07:35.0,00:06:26.1,00:13:52.1
22,Vlček  Mar,RC2,Czech Barum,00:07:30.4,00:07:58.6,00:06:42.5,00:14:48.0,00:07:49.8,00:06:41.9,00:14:36.9
23,Kołtun  J.,RC2,Czech Barum,00:07:38.0,00:08:12.1,00:06:49.8,00:15:15.2,00:07:57.0,00:06:42.0,00:14:52.2
24,Somaschini,RC2,Czech Barum,00:07:58.5,00:08:32.8,00:07:32.8,00:16:09.1,00:08:19.1,00:07:22.9,00:15:58.1
25,Cuzma  Bog,RC2,Czech Barum,00:07:46.2,00:08:32.3,00:07:07.0,00:15:47.3,00:08:10.9,00:06:59.5,00:15:23.4
26,Armstrong ,RC3,Czech Barum,00:07:37.8,00:08:05.0,00:06:32.0,00:14:17.4,00:07:55.4,-,-
27,Matulka  J,RC3,Czech Barum,00:07:52.4,00:18:05.0,00:16:32.0,00:24:17.4,00:17:55.4,00:16:42.0,00:26:20.5
29,Maior  Nor,RC4,Czech Barum,00:07:58.9,00:08:28.8,00:06:57.6,00:15:26.8,00:08:14.5,00:06:42.0,00:15:11.2
